country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Namibia,7700,8110,8390,8460,8330,8680,8960,9250,9600,10000,10500
Nauru,5010,4030,4050,5420,5860,6610,7340,7910,10100,12600,12300
Nepal,1680,1710,1750,1840,1910,1990,2050,2160,2250,2390,2460
Netherlands,43800,45300,46900,47700,45700,46100,46600,45900,45800,46200,46900
New Zealand,31900,32400,33100,32500,32100,32200,32700,33300,33900,34600,35200
Nicaragua,3720,3820,3960,4040,3850,3970,4160,4380,4530,4690,4850
Niger,763,777,772,815,779,812,799,860,870,900,903
Nigeria,4120,4260,4420,4600,4840,5090,5210,5290,5500,5690,5690
North Korea,1770,1750,1710,1760,1730,1710,1720,1730,1740,1750,1720
North Macedonia,9390,9850,10500,11000,11000,11400,11600,11500,11900,12300,12800
Norway,62900,63900,65100,64600,62700,62400,62100,63000,62900,63400,64000
Oman,41500,42500,43100,45100,45700,45300,41900,42600,41300,39700,39200
Pakistan,3850,4000,4100,4070,4100,4070,4100,4150,4240,4350,4460
Palau,14000,13900,14300,13900,13300,13600,14500,15100,14900,15500,17100
Palestine,3590,3360,3500,3610,3820,4020,4410,4570,4560,4450,4490
Panama,11900,12700,14000,15100,15000,15600,17100,18500,19400,20000,20800
Papua New Guinea,2620,2620,2840,2770,2880,3100,3070,3150,3200,3560,3820
Paraguay,8020,8280,8610,9030,8880,9740,10000,9830,10500,10900,11100
Peru,7530,8020,8640,9350,9380,10100,10600,11200,11700,11900,12100
Philippines,4780,4940,5180,5300,5270,5580,5690,5970,6280,6560,6850
Poland,17200,18300,19600,20400,21000,21800,22900,23200,23600,24400,25300
Portugal,26600,27000,27600,27600,26700,27200,26800,25800,25700,26000,26600
Qatar,110000,117000,116000,116000,113000,120000,124000,120000,118000,117000,116000
Romania,14400,15700,17100,19000,18100,17500,17900,18400,19100,19800,20700
Russia,19300,21000,22800,24000,22100,23300,24300,25200,25600,25300,24500
Rwanda,1060,1140,1190,1290,1340,1400,1470,1560,1590,1670,1770
Samoa,5340,5410,5720,5740,5420,5410,5670,5650,5490,5520,5570
San Marino,83400,85500,90500,90800,78200,73600,65700,59900,57300,56100,55900
Sao Tome and Principe,2200,2340,2350,2470,2460,2560,2610,2640,2710,2840,2890
Saudi Arabia,45700,45700,45300,46800,44500,45400,48500,49500,49400,49700,50500
Senegal,2680,2680,2740,2770,2760,2780,2740,2800,2800,2900,3000
Serbia,10800,11900,12800,13500,13200,13400,13700,13700,14200,14000,14300
Seychelles,17800,19100,21000,20100,19800,20400,22600,22600,23500,24200,24900
Sierra Leone,1060,1070,1130,1160,1170,1210,1260,1410,1670,1710,1330
Singapore,62600,66200,69200,66800,64900,73100,76000,77500,79900,82000,83300
Slovak Republic,20000,21700,24100,25400,24000,25200,25800,26200,26600,27300,28400
Slovenia,27000,28400,30200,31100,28500,28700,28800,28000,27600,28400,29000
Solomon Islands,1680,1760,1840,1930,1800,1870,2070,2100,2110,2100,2090
Somalia,616,615,615,615,615,614,614,616,619,621,623
South Africa,11000,11500,11900,12100,11800,12000,12200,12300,12400,12400,12400
South Korea,25500,26700,28000,28600,28600,30400,31200,31800,32500,33400,34200
South Sudan,3360,3610,3920,3940,3960,4010,3700,1940,2140,2170,1910
Spain,32900,33700,34300,34200,32700,32500,32100,31100,30700,31200,32400
Sri Lanka,6470,6910,7330,7710,7930,8500,9160,9980,10200,10600,11100
St. Kitts and Nevis,24600,25100,24900,26300,25200,24600,24800,24400,25500,26800,27200
St. Lucia,11100,11600,11700,12100,11800,11700,12000,11900,11600,11600,11600
St. Vincent and the Grenadines,9330,10000,10400,10600,10400,10000,9970,10100,10300,10400,10500
Sudan,2750,2950,3190,3350,3370,3400,3640,4070,4150,4160,4260
Suriname,11900,12500,13000,13300,13600,14100,14800,15000,15300,15200,14500
Sweden,41300,43000,44100,43500,40900,43000,43800,43400,43500,44200,45700
Switzerland,52800,54500,56300,56800,54800,55900,56200,56200,56500,57200,57300
Syria,5650,5750,5860,5920,6120,6290,5980,4830,4120,3540,3050
Tajikistan,1720,1810,1910,2020,2050,2140,2250,2360,2480,2580,2670
Tanzania,1910,1980,2050,2110,2160,2230,2330,2360,2450,2540,2610
Thailand,11500,12000,12600,12800,12600,13500,13500,14500,14800,14900,15300
Timor-Leste,6500,9020,9310,10000,9280,9010,9860,10200,8890,6470,7660
Togo,1150,1160,1160,1170,1200,1240,1290,1340,1380,1420,1470
Tonga,4950,4880,4630,4740,4820,4990,5150,5240,5120,5270,5480
Trinidad and Tobago,26400,29800,31100,32000,30400,31300,31000,31200,31600,31100,31500
Tunisia,8800,9180,9690,10000,10200,10400,10100,10400,10600,10800,10900
Turkey,16300,17300,17900,17800,16800,18000,19700,20300,21600,22300,23300
Turkmenistan,6500,7130,7820,8850,9250,9940,11200,12200,13200,14300,15000
Tuvalu,2880,2910,3070,3280,3100,2990,3180,3030,3130,3140,3390
Uganda,1260,1350,1420,1500,1550,1590,1680,1690,1700,1720,1750
