country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Portugal,,0.541,,0.572,,0.509,0.522,0.499,0.516,0.513,0.508
Qatar,,,,,0.642,0.685,0.659,0.661,,,0.637
Romania,0.505,,0.539,,0.537,0.491,0.502,0.517,0.508,0.573,0.578
Russia,,0.496,0.522,0.562,0.516,0.538,0.539,0.562,0.554,0.604,0.6
Rwanda,,0.421,,0.436,0.403,,0.41,0.333,0.347,0.36,0.348
Saudi Arabia,0.708,,0.727,0.681,0.615,0.631,0.67,0.64,0.65,0.628,0.635
Senegal,,0.442,0.468,0.468,0.434,0.437,0.383,0.367,0.365,0.439,0.462
Serbia,,,0.475,,0.438,0.446,0.482,0.515,0.51,0.511,0.532
Sierra Leone,,0.363,0.359,0.3,,0.413,0.45,,0.451,0.45,0.491
Singapore,,0.646,0.683,0.664,0.614,0.653,0.656,,0.653,0.706,0.662
Slovak Republic,,0.526,,,,0.605,0.595,0.591,0.594,0.614,0.616
Slovenia,,0.581,,,0.583,0.608,0.604,0.606,0.597,0.568,0.574
Somalia,,,,,0.499,0.466,0.493,0.506,,0.553,0.535
South Africa,,0.508,0.52,0.535,0.522,0.465,0.493,0.513,0.366,0.483,0.489
South Korea,,0.533,0.577,0.539,0.565,0.612,0.695,0.6,0.596,0.58,0.578
South Sudan,,,,,,,,,,0.383,0.407
Spain,0.715,,0.699,0.729,0.62,0.619,0.652,0.629,0.615,0.646,0.638
Sri Lanka,,0.434,0.441,0.443,0.421,0.398,0.418,0.422,0.436,0.427,0.461
Sudan,,,,,0.445,0.444,0.431,0.455,,0.414,
Suriname,,,,,,,,0.627,,,
Sweden,0.738,,0.724,0.752,0.727,0.75,0.738,0.756,0.743,0.724,0.729
Switzerland,,0.747,,,0.752,,,0.778,,0.749,0.757
Syria,,,,0.532,0.498,0.446,0.404,0.316,0.269,,0.346
Tajikistan,,0.461,0.443,0.506,0.458,0.438,0.426,0.45,0.497,0.49,0.512
Tanzania,,0.392,0.432,0.438,0.341,0.323,0.407,0.401,0.385,0.348,0.366
Thailand,,0.589,0.578,0.564,0.548,0.622,0.666,0.63,0.623,0.699,0.62
Togo,,0.32,,0.281,,,0.294,,,0.284,0.377
Trinidad and Tobago,,0.583,,0.67,,,0.652,,0.617,,
Tunisia,,,,,0.503,0.513,0.488,0.446,0.525,0.476,0.513
Turkey,0.472,,0.562,0.512,0.521,0.549,0.527,0.531,0.489,0.558,0.551
